Product,Current Factory,Alt Factory,Region,Ship Mode,Current Lead Time,Alt Lead Time,LT Reduction (days),LT Reduction (%),Current Distance,Alt Distance,Risk Level
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Gulf,Second Class,1344.15,1345.69,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Gulf,Second Class,1344.15,1343.38,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Gulf,Second Class,1344.15,1341.36,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Gulf,Same Day,1344.15,1343.43,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Gulf,Same Day,1344.15,1345.69,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Gulf,Same Day,1344.15,1343.38,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Gulf,Same Day,1344.15,1341.36,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Pacific,Standard Class,1340.79,1350.52,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Pacific,Standard Class,1340.79,1346.94,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Pacific,Standard Class,1340.79,1347.45,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Pacific,Standard Class,1340.79,1347.54,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Pacific,First Class,1340.79,1350.52,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Pacific,First Class,1340.79,1346.94,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Pacific,First Class,1340.79,1347.45,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Pacific,First Class,1340.79,1347.54,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Pacific,Second Class,1340.79,1350.52,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Pacific,Second Class,1340.79,1346.94,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Pacific,Second Class,1340.79,1347.45,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Pacific,Second Class,1340.79,1347.54,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Pacific,Same Day,1340.79,1350.52,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Pacific,Same Day,1340.79,1346.94,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Pacific,Same Day,1340.79,1347.45,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Pacific,Same Day,1340.79,1347.54,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Interior,Standard Class,1343.0,1344.2,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Interior,Standard Class,1343.0,1341.51,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Interior,Standard Class,1343.0,1340.55,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Interior,Standard Class,1343.0,1341.21,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Interior,First Class,1343.0,1344.2,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Interior,First Class,1343.0,1341.51,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Interior,First Class,1343.0,1340.55,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Interior,First Class,1343.0,1341.21,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Interior,Second Class,1343.0,1344.2,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Interior,Second Class,1343.0,1341.51,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Interior,Second Class,1343.0,1340.55,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Interior,Second Class,1343.0,1341.21,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Interior,Same Day,1343.0,1344.2,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Interior,Same Day,1343.0,1341.51,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Interior,Same Day,1343.0,1340.55,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Interior,Same Day,1343.0,1341.21,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Atlantic,Standard Class,1348.84,1339.66,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Atlantic,Standard Class,1348.84,1345.35,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Atlantic,Standard Class,1348.84,1342.66,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Atlantic,Standard Class,1348.84,1341.91,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Atlantic,First Class,1348.84,1339.66,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Atlantic,First Class,1348.84,1345.35,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Atlantic,First Class,1348.84,1342.66,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Atlantic,First Class,1348.84,1341.91,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Atlantic,Second Class,1348.84,1339.66,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Atlantic,Second Class,1348.84,1345.35,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Atlantic,Second Class,1348.84,1342.66,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Atlantic,Second Class,1348.84,1341.91,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Atlantic,Same Day,1348.84,1339.66,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Atlantic,Same Day,1348.84,1345.35,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Atlantic,Same Day,1348.84,1342.66,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Atlantic,Same Day,1348.84,1341.91,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Gulf,Standard Class,1343.64,1342.92,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Gulf,Standard Class,1343.64,1345.18,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Gulf,Standard Class,1343.64,1342.87,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Gulf,Standard Class,1343.64,1340.85,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Gulf,First Class,1343.64,1342.92,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Gulf,First Class,1343.64,1345.18,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Gulf,First Class,1343.64,1342.87,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Gulf,First Class,1343.64,1340.85,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Gulf,Second Class,1343.64,1342.92,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Gulf,Second Class,1343.64,1345.18,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Gulf,Second Class,1343.64,1342.87,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Gulf,Second Class,1343.64,1340.85,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Gulf,Same Day,1343.64,1342.92,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Gulf,Same Day,1343.64,1345.18,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Gulf,Same Day,1343.64,1342.87,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Gulf,Same Day,1343.64,1340.85,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Pacific,Standard Class,1340.28,1350.01,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Pacific,Standard Class,1340.28,1346.43,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Pacific,Standard Class,1340.28,1346.94,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Pacific,Standard Class,1340.28,1347.03,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Pacific,First Class,1340.28,1350.01,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Pacific,First Class,1340.28,1346.43,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Pacific,First Class,1340.28,1346.94,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Pacific,First Class,1340.28,1347.03,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Pacific,Second Class,1340.28,1350.01,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Pacific,Second Class,1340.28,1346.43,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Pacific,Second Class,1340.28,1346.94,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Pacific,Second Class,1340.28,1347.03,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Pacific,Same Day,1340.28,1350.01,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,Pacific,Same Day,1340.28,1346.43,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,Pacific,Same Day,1340.28,1346.94,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,Pacific,Same Day,1340.28,1347.03,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Interior,Standard Class,1343.67,1344.87,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Interior,Standard Class,1343.67,1342.18,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Interior,Standard Class,1343.67,1341.22,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Interior,Standard Class,1343.67,1341.88,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Interior,First Class,1343.67,1344.87,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Interior,First Class,1343.67,1342.18,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Interior,First Class,1343.67,1341.22,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Interior,First Class,1343.67,1341.88,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Interior,Second Class,1343.67,1344.87,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Interior,Second Class,1343.67,1342.18,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Interior,Second Class,1343.67,1341.22,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Interior,Second Class,1343.67,1341.88,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Interior,Same Day,1343.67,1344.87,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Interior,Same Day,1343.67,1342.18,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Interior,Same Day,1343.67,1341.22,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Interior,Same Day,1343.67,1341.88,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Atlantic,Standard Class,1349.51,1340.33,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Atlantic,Standard Class,1349.51,1346.02,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Atlantic,Standard Class,1349.51,1343.33,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Atlantic,Standard Class,1349.51,1342.58,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Atlantic,First Class,1349.51,1340.33,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Atlantic,First Class,1349.51,1346.02,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Atlantic,First Class,1349.51,1343.33,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Atlantic,First Class,1349.51,1342.58,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Atlantic,Second Class,1349.51,1340.33,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Atlantic,Second Class,1349.51,1346.02,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Atlantic,Second Class,1349.51,1343.33,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Atlantic,Second Class,1349.51,1342.58,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Atlantic,Same Day,1349.51,1340.33,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Atlantic,Same Day,1349.51,1346.02,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Atlantic,Same Day,1349.51,1343.33,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Atlantic,Same Day,1349.51,1342.58,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Gulf,Standard Class,1344.31,1343.59,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Gulf,Standard Class,1344.31,1345.85,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Gulf,Standard Class,1344.31,1343.54,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Gulf,Standard Class,1344.31,1341.52,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Gulf,First Class,1344.31,1343.59,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Gulf,First Class,1344.31,1345.85,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Gulf,First Class,1344.31,1343.54,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Gulf,First Class,1344.31,1341.52,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Gulf,Second Class,1344.31,1343.59,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Gulf,Second Class,1344.31,1345.85,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Gulf,Second Class,1344.31,1343.54,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Gulf,Second Class,1344.31,1341.52,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Gulf,Same Day,1344.31,1343.59,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Gulf,Same Day,1344.31,1345.85,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Gulf,Same Day,1344.31,1343.54,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Gulf,Same Day,1344.31,1341.52,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Pacific,Standard Class,1340.95,1350.68,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Pacific,Standard Class,1340.95,1347.1,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Pacific,Standard Class,1340.95,1347.61,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Pacific,Standard Class,1340.95,1347.7,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Pacific,First Class,1340.95,1350.68,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Pacific,First Class,1340.95,1347.1,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Pacific,First Class,1340.95,1347.61,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Pacific,First Class,1340.95,1347.7,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Pacific,Second Class,1340.95,1350.68,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Pacific,Second Class,1340.95,1347.1,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Pacific,Second Class,1340.95,1347.61,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Pacific,Second Class,1340.95,1347.7,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Pacific,Same Day,1340.95,1350.68,-9.73,-0.73,381.6,2143.85,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,Pacific,Same Day,1340.95,1347.1,-6.15,-0.46,381.6,1495.26,Medium Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,Pacific,Same Day,1340.95,1347.61,-6.66,-0.5,381.6,1587.89,High Risk
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,Pacific,Same Day,1340.95,1347.7,-6.75,-0.5,381.6,1604.38,High Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Interior,Standard Class,1339.9,1342.36,-2.46,-0.18,430.51,875.45,Medium Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Interior,Standard Class,1339.9,1343.56,-3.66,-0.27,430.51,1092.4,Medium Risk
Wonka Gum,Secret Factory,Sugar Shack,Interior,Standard Class,1339.9,1340.87,-0.97,-0.07,430.51,605.2,Low Risk
Wonka Gum,Secret Factory,The Other Factory,Interior,Standard Class,1339.9,1340.56,-0.66,-0.05,430.51,550.73,Low Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Interior,First Class,1339.9,1342.36,-2.46,-0.18,430.51,875.45,Medium Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Interior,First Class,1339.9,1343.56,-3.66,-0.27,430.51,1092.4,Medium Risk
Wonka Gum,Secret Factory,Sugar Shack,Interior,First Class,1339.9,1340.87,-0.97,-0.07,430.51,605.2,Low Risk
Wonka Gum,Secret Factory,The Other Factory,Interior,First Class,1339.9,1340.56,-0.66,-0.05,430.51,550.73,Low Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Interior,Second Class,1339.9,1342.36,-2.46,-0.18,430.51,875.45,Medium Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Interior,Second Class,1339.9,1343.56,-3.66,-0.27,430.51,1092.4,Medium Risk
Wonka Gum,Secret Factory,Sugar Shack,Interior,Second Class,1339.9,1340.87,-0.97,-0.07,430.51,605.2,Low Risk
Wonka Gum,Secret Factory,The Other Factory,Interior,Second Class,1339.9,1340.56,-0.66,-0.05,430.51,550.73,Low Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Interior,Same Day,1339.9,1342.36,-2.46,-0.18,430.51,875.45,Medium Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Interior,Same Day,1339.9,1343.56,-3.66,-0.27,430.51,1092.4,Medium Risk
Wonka Gum,Secret Factory,Sugar Shack,Interior,Same Day,1339.9,1340.87,-0.97,-0.07,430.51,605.2,Low Risk
Wonka Gum,Secret Factory,The Other Factory,Interior,Same Day,1339.9,1340.56,-0.66,-0.05,430.51,550.73,Low Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Atlantic,Standard Class,1342.01,1348.19,-6.18,-0.46,813.31,1931.99,High Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Atlantic,Standard Class,1342.01,1339.01,3.0,0.22,813.31,269.13,Low Risk
Wonka Gum,Secret Factory,Sugar Shack,Atlantic,Standard Class,1342.01,1344.7,-2.69,-0.2,813.31,1299.59,Medium Risk
Wonka Gum,Secret Factory,The Other Factory,Atlantic,Standard Class,1342.01,1341.26,0.75,0.06,813.31,676.7,Low Risk
Wonka Gum,Secret Factory,Lot's O' Nuts,Atlantic,First Class,1342.01,1348.19,-6.18,-0.46,813.31,1931.99,High Risk
Wonka Gum,Secret Factory,Wicked Choccy's,Atlantic,First Class,1342.01,1339.01,3.0,0.22,813.31,269.13,Low Risk
